Team_name,Team_BPI,Team_DEF_I,Team_OFF_I
1276,10.4,6.3,4.1
1196,10.1,6.1,4.0
1388,10.1,9.1,1.0
1428,10.1,3.9,6.3
1166,9.8,1.4,8.4
1458,9.8,10.3,-0.6
1203,9.7,4.4,5.2
1155,9.7,9.2,0.5
1400,9.6,7.0,2.7
1372,9.5,6.5,3.1
1199,9.4,1.5,7.9
1140,9.0,0.0,9.0
1173,9.0,7.4,1.6
1343,8.7,3.1,5.6
1246,23.9,13.6,10.3
1181,22.4,6.0,16.4
1458,21.7,11.3,10.4
1438,19.6,17.7,1.9
1112,19.6,8.9,10.7
1437,19.3,8.5,10.8
1314,17.8,2.9,14.9
1211,16.4,4.9,11.5
1326,16.3,6.6,9.7
1428,16.2,11.3,5.0
1323,15.8,2.8,13.0
1257,14.8,9.8,5.1
1242,14.4,5.5,8.9
1328,13.9,6.6,7.4
1235,13.8,1.1,12.7
1277,13.7,6.2,7.6
1455,13.7,8.6,5.1
1124,13.6,8.8,4.8
1139,12.8,9.3,3.5
1400,12.5,8.5,4.0
1234,12.1,6.5,5.6
1433,12.0,3.7,8.3
1320,11.8,10.9,0.9
1452,11.5,3.5,8.0
1393,10.7,6.4,4.3
1268,10.5,6.4,4.1
1301,10.4,4.0,6.4
1344,10.4,4.6,5.8
1207,10.4,4.3,6.0
1172,10.3,-0.9,11.2
1140,10.2,-4.4,14.6
1196,10.2,9.8,0.4
1116,10.0,-0.4,10.4
1345,9.9,5.3,4.6
1374,9.8,6.5,3.3
1228,9.7,4.9,4.8
1231,9.7,-1.9,11.5
1274,9.7,5.3,4.4
1329,9.5,6.0,3.6
1462,9.5,1.1,8.4
1173,9.4,6.7,2.7
1385,9.2,2.9,6.3
1350,8.9,6.9,2.0
1372,8.8,1.9,6.9
1153,8.7,11.0,-2.3
1208,8.6,4.8,3.9
1278,8.5,0.8,7.7
1279,8.3,0.9,7.3
1330,8.2,9.6,-1.5
1348,8.1,6.6,1.5
1257,20.1,9.4,10.7
1196,19.2,14.0,5.2
1181,18.8,5.2,13.6
1112,17.7,11.8,5.9
1438,16.4,16.1,0.2
1437,16.2,7.5,8.7
1242,15.8,4.8,11.0
1458,15.8,8.0,7.8
1276,15.7,7.0,8.7
1338,15.4,8.3,7.1
1277,15.4,6.9,8.5
1246,14.9,6.0,8.9
1166,14.8,3.3,11.4
1455,14.6,9.2,5.4
1397,14.5,9.4,5.1
1393,14.3,12.6,1.7
1329,14.1,3.8,10.3
1234,14.1,1.7,12.4
1326,13.8,11.8,2.1
1417,13.8,1.8,12.0
1361,13.3,11.5,1.8
1433,13.0,6.2,6.8
1235,12.9,0.0,12.8
1211,12.8,5.7,7.1
1163,12.7,8.5,4.3
1153,12.1,12.2,-0.1
1314,12.0,3.8,8.2
1217,11.8,7.2,4.6
1332,11.4,-0.2,11.7
1116,11.4,1.1,10.3
1124,11.0,5.2,5.8
1256,10.7,3.1,7.6
1199,10.1,5.7,4.4
1113,10.1,2.4,7.6
1272,10.0,2.7,7.3
1374,9.9,7.3,2.6
1387,9.9,8.9,1.0
1428,9.9,6.5,3.4
1462,9.6,4.5,5.1
1385,9.5,5.2,4.4
1328,9.5,-1.9,11.4
1155,9.2,13.2,-4.0
,,,
1203,9.1,5.2,3.9
1307,9.1,3.3,5.8
1207,9.1,5.8,3.3
1269,9.1,1.5,7.6
1344,8.8,2.7,6.2
1173,8.6,4.1,4.5
1268,8.5,3.9,4.6
1196,21.2,13.7,7.5
1257,21.0,10.3,10.7
1231,20.2,6.4,13.8
1181,17.6,5.4,12.2
1242,16.8,6.9,9.8
1338,16.7,12.2,4.5
1211,16.4,5.6,10.7
1276,16.1,5.0,11.0
1326,15.9,8.5,7.5
1458,15.6,13.2,2.4
1393,15.0,8.0,7.0
1112,14.5,5.3,9.2
1433,14.4,4.8,9.6
