"Team_name","Team_PTS","Team_FGM","Team_FGA","Team_ThreePM","Team_ThreePA","Team_FTM","Team_FTA","Team_OR","Team_DR","Team_REB","Team_AST","Team_STL","Team_BLK","Team_TO","Team_PF","Team_FG_percent","Team_ThreeP_percent","Team_FT_percent"
"Missouri State Bears","77.3","28.1","58.2","8.3","22.2","12.9","16.1","8.3","27.0","35.3","12.1","5.3","3.3","10.6","15.4","48.2","37.4","79.7"
"Santa Clara Broncos","77.3","28.8","59.4","7.2","19.1","12.5","16.4","7.6","27.9","35.5","15.1","6.0","3.8","11.5","15.0","48.4","37.8","76.2"
"New Orleans Privateers","77.2","27.8","59.7","4.1","13.4","17.4","23.8","9.5","27.1","36.6","13.0","7.9","2.8","14.3","18.8","46.6","30.8","73.1"
"Baylor Bears","77.0","28.3","61.3","8.1","23.5","12.4","17.8","12.9","24.3","37.2","15.9","8.8","3.4","12.4","16.1","46.2","34.3","69.7"
"Eastern Washington Eagles","76.9","26.6","58.7","8.9","25.1","14.7","19.5","9.1","27.6","36.7","15.7","5.5","2.7","13.3","18.6","45.4","35.2","75.3"
"The Citadel Bulldogs","76.8","27.0","60.8","10.7","30.3","12.0","17.9","9.4","27.9","37.3","16.1","4.7","3.6","12.2","15.4","44.5","35.4","67.2"
"Abilene Christian Wildcats","76.7","26.3","59.9","6.9","21.5","17.3","22.9","10.5","21.6","32.1","14.9","10.9","1.9","12.6","22.3","43.8","32.0","75.4"
"Texas A&M-Corpus Christi Islanders","76.6","26.9","60.9","6.4","19.0","16.3","22.2","12.8","25.5","38.3","15.1","8.5","1.8","14.1","20.3","44.3","33.6","73.7"
"Montana State Bobcats","76.5","26.4","55.8","7.7","20.8","16.1","21.4","8.7","26.4","35.1","13.2","5.2","3.7","12.9","18.3","47.3","36.8","75.4"
"Howard Bison","76.4","26.2","59.6","8.4","23.6","15.6","20.9","10.3","24.1","34.4","14.4","8.4","3.6","14.8","18.1","43.9","35.9","74.5"
"Saint Louis Billikens","76.2","27.4","59.7","6.7","18.3","14.7","19.3","11.9","26.7","38.6","14.8","6.4","3.1","12.9","17.9","45.8","36.9","76.3"
"Weber State Wildcats","76.2","26.6","56.0","7.2","21.1","15.8","21.1","6.6","25.5","32.1","10.6","7.7","2.5","11.6","15.4","47.5","33.9","74.9"
"Arkansas Razorbacks","75.9","26.3","60.6","6.3","20.7","17.1","22.5","10.8","27.0","37.8","13.8","7.6","4.1","12.2","16.9","43.4","30.4","76.0"
"Gonzaga Bulldogs","91.0","33.7","61.4","7.5","20.4","16.0","21.9","9.3","27.8","37.2","18.8","7.9","2.8","12.0","16.3","54.9","36.8","73.1"
"Colgate Raiders","85.2","30.9","62.8","9.3","22.9","14.1","19.4","9.8","30.1","39.9","17.6","7.1","3.4","10.8","16.2","49.3","40.3","72.3"
"Southern Utah Thunderbirds","84.2","29.1","61.5","8.8","25.8","17.2","23.0","11.0","28.4","39.4","14.1","7.0","2.6","12.1","16.9","47.4","34.1","74.8"
"Bryant Bulldogs","83.8","29.0","62.4","9.5","24.8","16.3","21.5","10.3","29.5","39.8","15.3","6.9","3.5","15.1","16.6","46.5","38.1","76.1"
