"Team_name","Team_BPI","Team_DEF_I","Team_OFF_I"
"Miami Hurricanes","10.6","5.7","4.9"
"Rhode Island Rams","10.5","5.9","4.7"
"Notre Dame Fighting Irish","10.4","3.6","6.9"
"Baylor Bears","10.4","5.4","5.0"
"Maryland Terrapins","10.2","4.5","5.7"
"Texas Longhorns","10.0","6.8","3.2"
"Arkansas Razorbacks","10.0","2.4","7.6"
"Middle Tennessee Blue Raiders","9.7","5.4","4.3"
"Loyola Chicago Ramblers","9.6","5.0","4.6"
"Oklahoma Sooners","9.4","2.7","6.8"
"Syracuse Orange","9.4","8.3","1.2"
"Arizona State Sun Devils","9.2","2.0","7.3"
"Kansas State Wildcats","9.2","5.7","3.5"
"NC State Wolfpack","9.2","2.2","7.0"
"Missouri Tigers","9.1","4.8","4.4"
"Marquette Golden Eagles","9.0","-0.2","9.2"
"Gonzaga Bulldogs","20.4","9.5","10.8"
"Villanova Wildcats","20.3","8.4","11.9"
"North Carolina Tar Heels","19.4","8.2","11.3"
"Kansas Jayhawks","18.4","6.3","12.1"
"Florida Gators","18.1","9.6","8.5"
"Louisville Cardinals","17.8","9.9","7.9"
"Duke Blue Devils","17.7","5.9","11.8"
"West Virginia Mountaineers","17.6","9.4","8.2"
"Kentucky Wildcats","17.5","7.9","9.6"
"Oregon Ducks","17.4","6.8","10.7"
"Virginia Cavaliers","17.2","11.4","5.8"
"UCLA Bruins","16.8","2.4","14.4"
"Saint Mary's Gaels","16.6","5.7","10.9"
"Purdue Boilermakers","16.1","7.2","8.9"
"Wichita State Shockers","15.7","8.5","7.2"
"Michigan Wolverines","15.6","3.9","11.6"
"SMU Mustangs","15.5","5.2","10.3"
"Baylor Bears","15.1","7.1","7.9"
"Wisconsin Badgers","15.0","8.3","6.7"
"Cincinnati Bearcats","14.8","7.8","7.0"
"Iowa State Cyclones","14.7","5.1","9.6"
"Arizona Wildcats","14.7","5.9","8.8"
"Notre Dame Fighting Irish","13.9","4.1","9.8"
"Florida State Seminoles","13.9","6.3","7.6"
"Butler Bulldogs","13.3","4.7","8.6"
"Oklahoma State Cowboys","12.4","1.3","11.1"
"Creighton Bluejays","12.0","3.9","8.1"
"South Carolina Gamecocks","11.4","9.4","2.0"
"Marquette Golden Eagles","10.8","1.0","9.8"
"Wake Forest Demon Deacons","10.7","0.7","10.1"
"Miami Hurricanes","10.7","6.2","4.5"
"Indiana Hoosiers","10.6","3.2","7.5"
"Xavier Musketeers","10.4","3.6","6.8"
"Rhode Island Rams","10.4","5.6","4.8"
"Syracuse Orange","10.4","2.8","7.6"
"Dayton Flyers","10.2","5.6","4.6"
"Kansas State Wildcats","10.2","5.1","5.1"
"Vanderbilt Commodores","10.2","4.7","5.5"
"Clemson Tigers","10.0","3.5","6.6"
"Texas Tech Red Raiders","9.9","3.9","6.0"
"Minnesota Golden Gophers","9.8","7.3","2.5"
"VCU Rams","9.7","6.2","3.5"
"Michigan State Spartans","9.7","5.1","4.6"
"TCU Horned Frogs","9.7","4.0","5.7"
"Arkansas Razorbacks","9.6","3.1","6.5"
"Middle Tennessee Blue Raiders","9.5","4.5","4.9"
"Northwestern Wildcats","9.4","5.8","3.6"
"Houston Cougars","9.2","2.7","6.5"
"Nevada Wolf Pack","9.0","1.6","7.4"
"Vermont Catamounts","9.0","4.3","4.7"
"Villanova Wildcats","19.9","11.0","8.9"
"North Carolina Tar Heels","18.7","4.8","13.8"
"Michigan State Spartans","18.6","8.1","10.5"
"Virginia Cavaliers","18.6","15.2","3.4"
"Kansas Jayhawks","18.5","6.6","11.8"
"Louisville Cardinals","17.1","12.6","4.5"
"West Virginia Mountaineers","16.5","7.7","8.9"
"Kentucky Wildcats","16.2","6.4","9.8"
"Purdue Boilermakers","15.9","8.2","7.7"
"Indiana Hoosiers","15.8","4.3","11.5"
"Duke Blue Devils","15.6","3.5","12.1"
"SMU Mustangs","15.0","8.2","6.8"
"Oklahoma Sooners","14.9","4.8","10.1"
"Arizona Wildcats","14.8","5.2","9.6"
"Wichita State Shockers","14.4","11.1","3.3"
"Xavier Musketeers","14.1","4.0","10.1"
"Vanderbilt Commodores","13.6","7.6","6.0"
"UConn Huskies","13.5","9.1","4.4"
"Miami Hurricanes","13.5","6.8","6.7"
"Maryland Terrapins","13.3","7.0","6.3"
"Texas A&M Aggies","13.0","7.5","5.5"
"Oregon Ducks","13.0","4.7","8.3"
"Cincinnati Bearcats","13.0","9.6","3.3"
"Iowa Hawkeyes","12.9","5.5","7.4"
"Iowa State Cyclones","12.8","0.5","12.3"
"Gonzaga Bulldogs","12.5","6.1","6.4"
"Pittsburgh Panthers","12.3","7.1","5.2"
"Butler Bulldogs","12.1","3.5","8.6"
"Baylor Bears","11.8","4.3","7.5"
"California Golden Bears","11.8","6.7","5.1"
"Notre Dame Fighting Irish","11.0","4.4","6.6"
"Syracuse Orange","11.0","9.5","1.5"
"Seton Hall Pirates","11.0","6.2","4.7"
"Valparaiso Beacons","10.7","9.7","1.0"
"VCU Rams","10.6","5.0","5.6"
"Yale Bulldogs","10.5","8.1","2.4"
"Michigan Wolverines","10.4","6.3","4.1"
"Florida Gators","10.1","6.1","4.0"
"Saint Mary's Gaels","10.1","9.1","1.0"
"Utah Utes","10.1","3.9","6.3"
"Creighton Bluejays","9.8","1.4","8.4"
"Wisconsin Badgers","9.8","10.3","-0.6"
"George Washington Revolutionaries","9.7","4.4","5.2"
"Clemson Tigers","9.7","9.2","0.5"
"Texas Longhorns","9.6","7.0","2.7"
"Stephen F. Austin Lumberjacks","9.5","6.5","3.1"
"Florida State Seminoles","9.4","1.5","7.9"
"BYU Cougars","9.0","0.0","9.0"
"Dayton Flyers","9.0","7.4","1.6"
"Princeton Tigers","8.7","3.1","5.6"
"Kentucky Wildcats","23.9","13.6","10.3"
"Duke Blue Devils","22.4","6.0","16.4"
"Wisconsin Badgers","21.7","11.3","10.4"
"Virginia Cavaliers","19.6","17.7","1.9"
